Nationality,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022
,Finance UG Degree 6 0 0 * 0,0 8 0,0 6 0,0 12 0,0,,,,,,,,,
,PG Taught 18 * * 7 0,0 12 0,0 12 0,0 11 *,0,,,,,,,,,
,Gender Stud.. PG Taught 5 * 0 0 0,0 0 0,0 * *,* * 0,0,,,,,,,,,
,Geography UG Degree * 0 0 * 0,0 * *,0 * 0,0 0 0,0,,,,,,,,,
,and Environ.. PG Taught * * 0 11 *,* 5 *,0 18 *,* 10 *,*,,,,,,,,,
,Government UG Degree 5 0 0 10 *,0 11 0,0 19 *,0 15 0,0,,,,,,,,,
,PG Taught 11 0 0 * *,0 19 *,0 21 *,0 23 *,*,,,,,,,,,
,Health Policy PG Taught 10 * * 7 *,0 5 *,* * 0,0 * 0,0,,,,,,,,,
,International.. PG Taught 5 0 0 * *,0 * *,* * 0,0 5 *,0,,,,,,,,,
,International UG Degree * 0 0 * *,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,History PG Taught 0 0 0 * 0,0 0 0,0 * *,0 * *,*,,,,,,,,,
,International UG Degree 9 0 0 * 0,0 * 0,0 7 0,0 * 0,0,,,,,,,,,
,Relations PG Taught 14 * 0 6 0,0 10 *,0 15 0,0 12 *,0,,,,,,,,,
,Language C.. UG Degree * 0 0 * 0,0 * *,* * 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 5 0 0 8 0,0 8 0,0 12 0,0 14 0,0,,,,,,,,,
,PG Taught 23 * 0 18 *,* 17 5,* 17 *,* 23 9,*,,,,,,,,,
,Management UG Degree * 0 0 5 0,0 8 0,0 20 0,0 5 0,0,,,,,,,,,
,PG Taught 38 * 0 26 8,0 36 *,* 59 8,* 30 5,*,,,,,,,,,
,Mathematics UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 5 * 0 0 0,0 * *,0 5 *,0 * *,0,,,,,,,,,
,Media and C.. PG Taught 6 0 0 9 *,* 8 0,0 8 *,* 15 *,*,,,,,,,,,
,Methodology PG Taught * 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,"Philosophy, UG Degree * 0 0 * 0",0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Logic and S.. PG Taught 0 0 0 * 0,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,Psychological UG Degree * 0 0 * 0,0 * 0,0 * *,0 0 0,0,,,,,,,,,
,and Behavio.. PG Taught 6 * * 6 *,0 7 0,0 8 *,* * 0,0,,,,,,,,,
,School of Pu.. PG Taught 12 * 0 10 8,0 25 9,* 18 5,* 19 6,*,,,,,,,,,
,Social Policy UG Degree * 0 0 * 0,0 * *,* * 0,0 0 0,0,,,,,,,,,
,PG Taught 5 * 0 * *,* * *,* 8 *,* 8 0,0,,,,,,,,,
,Sociology UG Degree * * 0 * *,* * 0,0 6 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * *,0 5 *,0 7 *,0 5 *,0,,,,,,,,,
,Statistics UG Degree * 0 0 0 0,0 7 0,0 10 *,0 15 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * 0,0 * *,0 * 0,0,,,,,,,,,
Senegalese,Accounting UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,Economic Hi.. UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics UG Degree * * * 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Finance UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 * *,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,Government UG Degree * 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 * *,* * *,* 0 0,0 0 0,0,,,,,,,,,
,International UG Degree 0 0 0 * 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
,Relations PG Taught 0 0 0 * *,* 0 0,* 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Management UG Degree * 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Senegalese,Mathematics UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Media and C.. PG Taught * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,School of Pu.. PG Taught * * 0 0 0,0 * *,0 0 0,0 * *,*,,,,,,,,,
,Social Policy UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Sociology PG Taught * * 0 * 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,Statistics UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
Serbian,Accounting UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * *,0 0 0,0 * 0,0 * *,0,,,,,,,,,
,Economics UG Degree * 0 0 6 0,0 8 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,European In.. PG Taught * * 0 * *,0 0 0,0 * 0,0 * *,*,,,,,,,,,
,Finance UG Degree 0 0 0 * 0,0 * *,* * *,* * 0,0,,,,,,,,,
,PG Taught 7 * 0 7 *,* 6 *,* * *,* * *,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 * *,* * 0,0 0 0,0 0 0,0,,,,,,,,,
,Geography .. PG Taught 0 0 0 0 0,0 * *,* * 0,0 5 *,*,,,,,,,,,
,Government UG Degree * 0 0 * 0,0 * 0,0 * 0,0 6 *,0,,,,,,,,,
,PG Taught 5 * 0 0 0,0 0 0,0 * *,* * *,*,,,,,,,,,
,Health Policy PG Taught 0 0 0 0 0,0 0 0,0 * *,* * 0,0,,,,,,,,,
,International.. PG Taught 5 * * * *,0 * *,* * 0,0 * *,0,,,,,,,,,
,International UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,History PG Taught * * * * 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,International UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Relations PG Taught 6 * * 5 *,* 0 0,0 0 0,0 * *,0,,,,,,,,,
,Law School UG Degree * 0 0 6 *,* * 0,0 * *,* * *,*,,,,,,,,,
,PG Taught * * 0 * *,0 * *,* * *,0 * *,*,,,,,,,,,
,Management UG Degree * 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 5 * * 7 *,* 7 *,* 9 *,* * 0,0,,,,,,,,,
,Mathematics UG Degree * 0 0 * *,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * * 0 * 0,0 * *,0 * 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught 0 0 0 * *,* * 0,0 0 0,0 * 0,0,,,,,,,,,
,Methodology PG Taught * 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,"Philosophy, UG Degree * * 0 * 0",0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Logic and S.. PG Taught 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Psychological UG Degree * * 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,and Behavio.. PG Taught * * * * 0,0 * *,* * *,* * 0,0,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 * *,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,Social Policy UG Degree * 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Sociology PG Taught * * * * *,* 0 0,0 * 0,0 * *,0,,,,,,,,,
,Statistics UG Degree * 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
Seychellois,Accounting UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 * *,*,,,,,,,,,
,Anthropology UG Degree * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Finance PG Taught 0 0 0 0 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Management PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
Seychellois,Media and C.. PG Taught 0 0 0 * *,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
Sierra,Accounting UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
Leonean,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Finance PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Gender Stud.. PG Taught * 0 0 0 0,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,Geography .. PG Taught 0 0 0 0 0,0 * *,0 * *,0 * *,*,,,,,,,,,
,Government PG Taught * 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 0 0,0 0 0,0 * *,0 * *,0,,,,,,,,,
,International.. PG Taught * 0 0 * *,0 * 0,0 10 *,0 10 *,0,,,,,,,,,
,International.. PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Management UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Mathematics PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Media and C.. PG Taught 0 0 0 0 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,Methodology PG Taught 0 0 0 0 0,0 0 0,0 * *,0 * *,0,,,,,,,,,
,Psychologic.. PG Taught * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,School of Pu.. PG Taught * * 0 * *,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Social Policy PG Taught * 0 0 0 0,0 0 0,0 * *,0 * *,0,,,,,,,,,
,Sociology PG Taught 0 0 0 * *,* * 0,0 * 0,0 * 0,0,,,,,,,,,
,Statistics PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Singaporean,Accounting UG Degree 57 6 * 47 *,0 42 *,* 48 *,0 32 *,*,,,,,,,,,
,PG Taught 13 * * 10 *,0 9 6,5 8 *,* * *,0,,,,,,,,,
,Anthropology UG Degree 27 10 * 22 7,* 16 7,* 24 9,* 15 *,*,,,,,,,,,
,PG Taught * 0 0 * *,* * *,0 5 *,* * *,*,,,,,,,,,
,Economic UG Degree 10 * 0 15 *,* 27 *,* 19 *,0 13 *,*,,,,,,,,,
,History PG Taught * 0 0 * *,* * *,0 * *,0 * *,0,,,,,,,,,
,Economics UG Degree 187 49 26 200 43,23 190 27,12 181 39,18 171 39,28,,,,,,,,,
,PG Taught 23 14 * 26 13,* 36 21,10 21 12,* 21 13,*,,,,,,,,,
,European In.. PG Taught * * 0 * 0,0 * 0,0 * *,0 * *,*,,,,,,,,,
,Finance UG Degree 32 10 8 31 15,* 37 9,5 57 10,5 37 *,*,,,,,,,,,
,PG Taught 49 13 8 45 9,* 35 8,* 31 *,* 34 7,*,,,,,,,,,
,Gender Stud.. PG Taught * 0 0 * 0,0 * *,* * *,* 0 0,0,,,,,,,,,
,Geography UG Degree 51 16 * 43 15,* 47 *,* 53 9,* 47 10,*,,,,,,,,,
,and Environ.. PG Taught 19 9 * 12 6,* 14 5,* 28 10,* 25 6,5,,,,,,,,,
,Government UG Degree 63 7 * 84 12,5 90 5,* 98 12,* 59 10,*,,,,,,,,,
,PG Taught 27 9 * 24 12,6 20 8,* 23 11,6 24 12,5,,,,,,,,,
,Health Policy PG Taught 12 * * * *,0 5 *,* * *,* 6 *,*,,,,,,,,,
,International.. PG Taught 11 * * 10 *,* 8 *,* * *,0 13 7,*,,,,,,,,,
,International UG Degree 29 14 * 22 12,* 21 6,* 37 7,* 26 11,7,,,,,,,,,
,History PG Taught 10 7 * * *,* 6 *,* 11 6,6 11 7,6,,,,,,,,,
,International UG Degree 26 13 * 17 11,5 23 *,0 21 6,* 19 *,*,,,,,,,,,
,Relations PG Taught 14 * * 20 8,* 13 *,* 15 *,* 7 *,*,,,,,,,,,
,Language C.. UG Degree * 0 0 11 *,* 9 *,* 15 *,0 7 0,0,,,,,,,,,
,Law School UG Degree 229 48 18 164 29,10 201 23,11 192 24,11 198 27,12,,,,,,,,,
,PG Taught 22 13 5 20 8,* 19 8,* 19 12,* 14 10,*,,,,,,,,,
,Management UG Degree 32 * * 33 7,5 47 *,* 42 6,* 49 *,*,,,,,,,,,
,PG Taught 39 12 * 38 16,7 35 12,* 42 14,7 35 10,6,,,,,,,,,
,Mathematics UG Degree 32 * 0 31 *,* 24 *,* 26 *,* 40 *,*,,,,,,,,,
Singaporean,Mathematics PG Taught 8 0 0 10 *,* 6 *,* * 0,0 * 0,0,,,,,,,,,
,Media and C.. PG Taught 16 * * 19 5,* 18 9,* 17 5,* 11 *,*,,,,,,,,,
,Methodology PG Taught 11 * 0 18 6,* 12 *,* 8 *,* 12 7,*,,,,,,,,,
,"Philosophy, UG Degree 63 8 * 62 11",* 68 *,* 73 7,* 62 9,*,,,,,,,,,
,Logic and S.. PG Taught 10 6 5 8 *,* * *,* * *,* * 0,0,,,,,,,,,
,Psychological UG Degree 23 8 * 26 9,* 27 6,* 31 *,0 28 11,*,,,,,,,,,
,and Behavio.. PG Taught 23 6 5 19 5,* 22 8,* 16 *,* 14 *,*,,,,,,,,,
,School of Pu.. PG Taught 12 6 * 10 *,* 6 *,0 14 6,* 18 8,*,,,,,,,,,
,Social Policy UG Degree 30 * * 34 7,* 39 *,* 50 *,* 40 *,0,,,,,,,,,
,PG Taught 21 10 9 16 8,* 19 14,5 22 12,6 10 6,*,,,,,,,,,
,Sociology UG Degree 15 5 * 19 7,* 18 0,0 18 *,0 14 *,*,,,,,,,,,
,PG Taught 11 7 * 8 *,0 6 *,* 10 7,* 19 7,*,,,,,,,,,
,Statistics UG Degree 18 0 0 12 *,* 34 *,0 35 5,* 37 *,*,,,,,,,,,
,PG Taught 29 6 * 14 *,0 15 *,0 20 *,* 15 *,0,,,,,,,,,
Slovak,Accounting UG Degree * * 0 0 0,0 * *,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
,Anthropology UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * * * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economic Hi.. UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Economics UG Degree 7 0 0 9 0,0 5 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * *,* * *,* 0 0,0 0 0,0,,,,,,,,,
,European In.. PG Taught 10 * * 6 *,* * *,* 0 0,0 * *,*,,,,,,,,,
,Finance UG Degree * * * * *,0 * 0,0 * *,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 7 *,* 0 0,0 5 *,0 * 0,0,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Geography UG Degree * 0 0 0 0,0 0 0,0 * *,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught * * 0 * *,* * *,* * 0,0 0 0,0,,,,,,,,,
,Government UG Degree 6 0 0 13 0,0 * 0,0 * *,0 * *,*,,,,,,,,,
,PG Taught * * 0 * *,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 * *,0 0 0,0 * 0,0 * *,*,,,,,,,,,
,International UG Degree 0 0 0 * 0,0 * *,0 * *,0 * 0,0,,,,,,,,,
,History PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,International UG Degree * 0 0 10 0,0 * 0,0 5 0,0 * 0,0,,,,,,,,,
,Relations PG Taught * * * * *,* * *,0 * *,0 * 0,0,,,,,,,,,
,Language C.. UG Degree * * * * *,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Law School UG Degree * 0 0 * *,0 * 0,0 * 0,0 11 0,0,,,,,,,,,
,PG Taught * * * * *,0 * *,* * *,* * *,*,,,,,,,,,
,Management UG Degree 7 0 0 * 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 6 *,* * *,* * *,* * *,0,,,,,,,,,
,Mathematics UG Degree 0 0 0 * *,* * *,* 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught * * * 0 0,0 * *,* * *,0 * *,*,,,,,,,,,
,Methodology PG Taught 0 0 0 0 0,0 * *,0 * 0,0 * 0,0,,,,,,,,,
,"Philosophy, UG Degree 5 * 0 * 0",0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,Logic and S.. PG Taught * 0 0 * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Psychological UG Degree * 0 0 * *,* 0 0,0 0 0,0 * 0,0,,,,,,,,,
,and Behavio.. PG Taught * * * * *,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 * *,0 0 0,0 * *,0 * *,*,,,,,,,,,
,Social Policy UG Degree * * 0 * 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 * *,* * *,*,,,,,,,,,
,Sociology UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
Slovak,Sociology PG Taught * * * * 0,0 * 0,0 * *,* * 0,0,,,,,,,,,
,Statistics UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 5 *,*,,,,,,,,,
Slovenian,Accounting UG Degree * 0 0 * *,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 * 0,0 * *,*,,,,,,,,,
,Anthropology UG Degree 0 0 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Economic Hi.. UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Economics UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,* * 0,0 0 0,0 0 0,0,,,,,,,,,
,European In.. PG Taught 0 0 0 * *,* * *,0 * *,0 0 0,0,,,,,,,,,
,Finance UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * * * * *,* * *,* 6 *,* * *,*,,,,,,,,,
,Gender Stud.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Geography .. PG Taught 0 0 0 * 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
,Government UG Degree * 0 0 * 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 * 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,International.. UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,International UG Degree * 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,Relations PG Taught * * * 0 0,0 * 0,0 0 0,0 * *,0,,,,,,,,,
,Language C.. UG Degree 0 0 0 0 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree * 0 0 * *,* * 0,0 * *,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,0 * *,0 * *,* * *,*,,,,,,,,,
,Management UG Degree * 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * * 0 * 0,0 0 0,0 * *,* * 0,0,,,,,,,,,
,Mathematics PG Taught 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Methodology PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,"Philosophy, .. UG Degree * 0 0 0 0",0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Psychological UG Degree * * 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,and Behavio.. PG Taught 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Social Policy UG Degree * * 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Sociology UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Statistics PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
Solomon,Health Policy PG Taught 0 0 0 0 0,0 0 0,0 * *,* 0 0,0,,,,,,,,,
Islands,International.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Law School PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Social Policy PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Sociology PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Somalian,Accounting UG Degree * 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Anthropology UG Degree * 0 0 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,Economic UG Degree 0 0 0 * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,History PG Taught 0 0 0 * 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Economics UG Degree * 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Finance UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Geography .. UG Degree * * 0 0 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
Somalian,Government UG Degree * 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 0 0,0 * *,0 * *,* 5 *,0,,,,,,,,,
,International.. PG Taught * 0 0 * *,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,International.. UG Degree 0 0 0 * *,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree * 0 0 * *,* * 0,0 0 0,0 0 0,0,,,,,,,,,
,Management PG Taught * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Mathematics UG Degree * 0 0 0 0,0 * *,0 * *,* 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught * * 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Psychologic.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 * *,* 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Social Policy UG Degree * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,Sociology PG Taught 0 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Statistics UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
South African Accounting,UG Degree 10 0 0 10 *,0 10 *,* 9 0,0 9 *,*,,,,,,,,,
,PG Taught * 0 0 * 0,0 * *,* * *,0 * 0,0,,,,,,,,,
,Anthropology UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 * *,0 * *,0 * *,0,,,,,,,,,
,Economic UG Degree * 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,History PG Taught 5 * * * 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Economics UG Degree 6 * 0 * 0,0 9 0,0 * 0,0 6 0,0,,,,,,,,,
,PG Taught * 0 0 5 *,* * 0,0 * *,0 * 0,0,,,,,,,,,
,European In.. PG Taught * 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Finance UG Degree * 0 0 * *,* * 0,0 * *,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 12 *,0 20 *,* 11 *,* 10 *,0,,,,,,,,,
,Gender Stud.. PG Taught 6 * * * 0,0 * 0,0 * *,* * 0,0,,,,,,,,,
,Geography UG Degree 0 0 0 * *,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught 14 * * 11 *,* 7 *,0 12 *,0 13 *,0,,,,,,,,,
,Government UG Degree * * * * 0,0 * 0,0 * 0,0 5 *,*,,,,,,,,,
,PG Taught 17 6 * 15 *,* * 0,0 5 *,* 7 *,*,,,,,,,,,
,Health Policy PG Taught 7 * * 7 *,* 6 *,* 7 *,* 7 *,*,,,,,,,,,
,International.. PG Taught 34 13 5 22 10,0 14 5,* 13 *,* 10 *,*,,,,,,,,,
,International UG Degree * 0 0 * 0,0 0 0,0 * *,0 * 0,0,,,,,,,,,
,History PG Taught * 0 0 0 0,0 * *,0 5 *,* * 0,0,,,,,,,,,
